Source (A),Source (B),Source (C),Source (D),Source (E),Source (F),Source (G),Source (H),Source (I),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
Global Glimpse,"Global Glimpse works to inspire America‚Äôs next generation to become responsible and successful global citizens through after-school programming and transformative travel in the developing world. We currently partner with 70 high schools in the Bay Area, Chicago and New York to serve 1000 majority low-income students annually. Our school-based program develops global competence, civic engagement, youth leadership, and college readiness, inspiring and empowering youth to become agents of change in their local communities and in the greater global community. This year we provided over $2 million in travel scholarships for our low-income students.",653,93,14,0,79,29,7.021505376344086,98,96.28,93.69,97.35,91.78,24.50,34.69,86.73,32.65,6.12,5.10,0.00,4.08,0.00,0.00,1.02,1.02,3.06,15.31,2.04,0.00,6.12,0.00,6.12,6.12,2.04,0.00,4.08,1.02,8.16,6.12,2.04,0.00,0.00,2.04,11.22,0.00,1.02,0.00,0.00,6.12,4.08,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.35,7.14,4.08,8.16,1.02,0.00,1.02,6.12,0.00,28.57,3.06,16.33,9.18,19.39,2.04,0.00,3.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,4.08,5.10,0.00,0.00,0.00,0.00,4.08,0.00,0.00,0.00,1.02
Goldman Sachs,"We provide Services worldwide to a substantial and diversified client base, which includes corporations, financial institutions, governments and high net worth individuals.Goldman Sachs brings people, capital and ideas together to help our clients and the communities we serve.",277,38,6,0,34,12,7.2894736842105265,39,77.75,99.00,3.70,25.77,39.00,41.03,76.92,30.77,10.26,7.69,0.00,7.69,0.00,0.00,0.00,2.56,5.13,5.13,0.00,0.00,10.26,0.00,2.56,2.56,0.00,2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.08,0.00,0.00,0.00,0.00,2.56,2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.51,15.38,0.00,7.69,0.00,0.00,0.00,7.69,0.00,7.69,2.56,5.13,0.00,17.95,0.00,0.00,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,5.13,10.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Goldman Sachs Group,TO PROVIDE SUPERIOR RETURNS TO OUR SHAREHOLDERS.,48,7,1,7,0,3,6.857142857142857,7,99.00,99.00,89.63,99.00,7.00,57.14,100.00,42.86,14.29,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,14.29,0.00,14.29,0.00,0.00,0.00,14.29,0.00,28.57,0.00,14.29,14.29,14.29,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Good Karma Bikes,"Good Karma Bikes is a non-profit social enterprise consisting of a full second hand bike shop and service center. All of our bikes are donated to Good Karma Bikes and refurbished in our work shop by volunteers.
 
 But Good Karma Bikes is not about the bikes, it about utilizing the revenue generated by our bike shop and services to pay for our social programs; working with former foster and disadvantaged youth, as well as providing safe, reliable bicycle transportation, and repair services for homeless and low income working people.
 
 In fact, for every bike we sell we currently give away 1.4 bikes or services.
 
 Our primary program, and the one we are proudest of, is with a select group of former foster and disadvantaged youth providing work readiness and college entrance via a two-year Life, Work and College program that gives them a solid foundation for moving forward. 
 
 In the first 6 months we work with them to establish good housing, medical coverage and start to put a college transcript in place while they earn a stipend from Good Karma Bikes for working in our repair shop and retail area learning Life, Business and communications lessons and skills. During this time, we start the college application program and we help all of them get into college and support them during their college education with customized workshops that continue to provide the life lessons they need to succeed in college and life.
 
 Our Goal is to reach a 100 Cohorts by 2020!",1483,251,23,0,221,104,5.908366533864542,253,92.49,94.29,21.20,87.05,31.62,24.11,91.30,41.90,9.49,7.91,0.00,5.14,0.00,0.00,2.77,1.58,5.53,15.81,2.37,1.19,8.70,0.40,8.30,2.77,1.98,0.00,3.16,1.58,5.93,4.74,1.19,0.00,0.00,0.40,12.25,0.00,0.00,0.00,0.00,4.74,1.19,0.40,0.40,0.40,1.58,1.19,0.40,0.00,0.00,0.40,2.37,0.40,1.98,0.00,0.00,17.39,7.11,5.14,2.37,3.95,1.19,1.19,8.30,0.00,14.23,1.58,7.11,6.32,15.81,5.93,0.40,5.14,1.58,0.00,0.40,0.00,0.00,0.00,0.40,0.00,8.70,2.77,4.35,0.00,0.40,0.00,0.40,0.79,0.00,0.00,0.00,0.00
Google,Our mission is to organize the world’s information and make it universally accessible and useful.,97,15,1,0,14,7,6.466666666666667,15,52.71,90.87,1.00,99.00,15.00,33.33,80.00,46.67,13.33,6.67,0.00,6.67,0.00,0.00,0.00,6.67,6.67,6.67,6.67,0.00,13.33,0.00,13.33,0.00,0.00,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,13.33,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,6.67,0.00,0.00,6.67,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00
GreenLight Fund,"The GreenLight Fund helps transform the lives of children, youth and families in high-poverty urban areas by creating local infrastructure and a consistent annual process to:
 Identify critical needs
 Import innovative, entrepreneurial programs that can have a significant, measurable impact, and
 Galvanize local support to help programs reach and sustain impact in the new city.",380,55,7,0,49,17,6.909090909090909,56,97.73,76.25,30.01,87.20,56.00,35.71,75.00,32.14,1.79,0.00,0.00,0.00,0.00,0.00,0.00,1.79,8.93,10.71,3.57,0.00,7.14,0.00,10.71,5.36,0.00,0.00,0.00,0.00,7.14,5.36,1.79,0.00,1.79,0.00,7.14,1.79,0.00,0.00,0.00,5.36,1.79,1.79,1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,0.00,1.79,0.00,0.00,12.50,5.36,1.79,7.14,0.00,0.00,0.00,10.71,0.00,17.86,0.00,12.50,5.36,5.36,1.79,1.79,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,1.79,7.14,1.79,0.00,0.00,0.00,1.79,0.00,0.00,0.00,0.00
GRIFFITH UNIVERSITY,The mission of Griffith University is to engage in outstanding scholarship that makes a major contribution to society and to produce groundbreaking research. Students will be provided with an excellent education and the capacity to use knowledge gained to exercise influence and make meaningful lifelong contributions to their communities.,339,49,2,0,45,21,6.918367346938775,49,98.63,79.29,1.69,91.78,24.50,44.90,87.76,42.86,4.08,2.04,0.00,0.00,0.00,0.00,2.04,2.04,8.16,18.37,6.12,0.00,6.12,0.00,12.24,2.04,0.00,0.00,0.00,0.00,4.08,4.08,0.00,0.00,0.00,0.00,8.16,0.00,0.00,0.00,0.00,16.33,4.08,10.20,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.04,0.00,2.04,0.00,0.00,12.24,2.04,4.08,6.12,2.04,0.00,2.04,10.20,2.04,6.12,0.00,6.12,0.00,14.29,2.04,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.08,4.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guardian Training,"Guardian provides students with skills that help them build self esteem, confidence and discipline. We aim to propel young lives and prepare them for the future by providing a world-class environment to connect with mentors, peers, and community leaders",253,39,5,0,37,15,6.487179487179487,39,95.33,99.00,1.40,73.64,19.50,33.33,82.05,38.46,10.26,7.69,0.00,2.56,0.00,0.00,5.13,2.56,5.13,15.38,0.00,0.00,7.69,0.00,2.56,5.13,0.00,0.00,0.00,0.00,2.56,2.56,0.00,0.00,0.00,0.00,23.08,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.00,0.00,0.00,2.56,0.00,2.56,0.00,0.00,25.64,7.69,7.69,15.38,2.56,2.56,0.00,5.13,5.13,7.69,0.00,2.56,5.13,10.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.82,2.56,7.69,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.00,0.00
Gucci,"Influential, innovative and progressive, Gucci is reinventing a wholly modern approach to fashion. Under the new vision of creative director Alessandro Michele, the House has redefined luxury for the 21st century, further reinforcing its position as one of the world’s most desirable fashion houses. Eclectic, contemporary, romantic—Gucci products represent the pinnacle of Italian craftsmanship and are unsurpassed for their quality and attention to detail. ",459,64,9,0,55,25,7.171875,65,97.95,56.11,4.43,95.12,21.67,43.08,63.08,36.92,3.08,1.54,0.00,0.00,0.00,0.00,1.54,1.54,9.23,13.85,4.62,1.54,6.15,0.00,4.62,10.77,4.62,0.00,1.54,1.54,4.62,4.62,0.00,0.00,0.00,0.00,1.54,0.00,0.00,0.00,0.00,9.23,1.54,3.08,1.54,1.54,1.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.77,1.54,1.54,4.62,3.08,0.00,0.00,4.62,0.00,10.77,1.54,4.62,4.62,3.08,0.00,3.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,4.62,9.23,0.00,0.00,0.00,0.00,0.00,0.00,1.54,0.00,0.00
H&M,"We are a family of brands driven by our desire to make great design available to everyone in a sustainable way. Together we offer fashion, design and services, that enable people to be inspired and to express their own personal style, making it easier to live in a more circular way.",283,51,5,0,49,24,5.549019607843137,51,94.91,99.00,6.20,99.00,25.50,19.61,82.35,45.10,13.73,7.84,0.00,5.88,0.00,0.00,1.96,5.88,5.88,17.65,3.92,0.00,3.92,0.00,9.80,7.84,3.92,0.00,0.00,1.96,9.80,7.84,0.00,0.00,0.00,0.00,21.57,1.96,0.00,0.00,0.00,11.76,1.96,5.88,1.96,0.00,1.96,0.00,0.00,0.00,0.00,0.00,3.92,0.00,1.96,0.00,1.96,17.65,9.80,3.92,0.00,3.92,0.00,0.00,7.84,0.00,11.76,1.96,9.80,0.00,1.96,3.92,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.80,3.92,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Habitat for Humanity International,"Seeking to put God's love into action, Habitat for Humanity brings people together to build homes, communities and hope",119,19,3,0,15,5,6.2631578947368425,19,99.00,99.00,50.35,99.00,19.00,26.32,84.21,26.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.05,0.00,0.00,5.26,0.00,15.79,0.00,0.00,0.00,0.00,0.00,10.53,10.53,0.00,0.00,0.00,0.00,26.32,0.00,0.00,0.00,0.00,5.26,0.00,0.00,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,21.05,15.79,0.00,5.26,0.00,0.00,0.00,10.53,5.26,26.32,15.79,10.53,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,0.00,10.53,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00
Hack the Hood,"Hack the Hood connects low-income young people of color and local small businesses through technology, in order to create opportunities for all the people who live in the Bay Area, and beyond, to take part in and lead the change that is happening around them. 
 Our programs model the change we wish to see in the world, equipping youth with a toolbox of skills, confidence, and connections to help them flourish in any career that they choose.",444,77,9,0,72,35,5.766233766233766,78,98.64,92.07,78.04,73.64,39.00,15.38,88.46,46.15,10.26,6.41,0.00,2.56,0.00,0.00,3.85,3.85,8.97,20.51,1.28,2.56,5.13,0.00,8.97,2.56,0.00,1.28,0.00,3.85,5.13,3.85,1.28,0.00,0.00,1.28,11.54,0.00,0.00,0.00,0.00,11.54,1.28,5.13,1.28,1.28,2.56,0.00,2.56,2.56,0.00,0.00,1.28,0.00,1.28,0.00,0.00,15.38,3.85,6.41,7.69,3.85,0.00,0.00,5.13,1.28,25.64,3.85,16.67,3.85,7.69,0.00,0.00,2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.54,2.56,7.69,0.00,0.00,0.00,0.00,1.28,0.00,0.00,0.00,0.00
Halliburton,"To achieve superior growth and returns for our shareholders by delivering technology and services that improve efficiency, increase recovery, and maximize production for our customers.",184,25,3,0,24,10,7.36,25,82.26,94.50,43.37,99.00,25.00,56.00,92.00,40.00,12.00,8.00,0.00,8.00,0.00,0.00,0.00,4.00,0.00,16.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,8.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,8.00,16.00,4.00,4.00,0.00,0.00,0.00,0.00,20.00,12.00,4.00,4.00,20.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,4.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HCA Holdings,"Above all else, we are committed to the care and improvement of human life. ",76,14,2,0,13,8,5.428571428571429,14,97.73,92.33,13.15,99.00,14.00,14.29,100.00,50.00,7.14,7.14,0.00,7.14,0.00,0.00,0.00,0.00,7.14,21.43,7.14,0.00,7.14,0.00,14.29,0.00,0.00,0.00,0.00,7.14,14.29,14.29,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,21.43,0.00,0.00,0.00,0.00,14.29,7.14,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,0.00,21.43,7.14,7.14,7.14,0.00,0.00,0.00,14.29,0.00,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,7.14,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Heifer International,To work with communities to end hunger and poverty and care for the Earth,73,14,0,0,12,7,5.214285714285714,14,99.00,76.25,13.15,99.00,14.00,14.29,100.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,28.57,0.00,0.00,14.29,0.00,7.14,0.00,0.00,0.00,0.00,0.00,7.14,7.14,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,7.14,21.43,7.14,7.14,7.14,0.00,0.00,0.00,14.29,0.00,14.29,0.00,7.14,7.14,7.14,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Heineken,"We delight consumers, day in day out, with perfect cider and beer brand experiences!",84,14,3,0,13,4,6.0,14,97.73,92.33,89.63,99.00,14.00,28.57,85.71,35.71,7.14,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,21.43,0.00,0.00,7.14,0.00,0.00,7.14,0.00,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,0.00,0.00,7.14,0.00,0.00,0.00,7.14,14.29,7.14,0.00,0.00,7.14,0.00,0.00,7.14,0.00,28.57,0.00,14.29,14.29,7.14,7.14,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.43,0.00,14.29,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00
Hennessy,"The LVMH group brings together truly exceptional Houses. Each of them creates Products that embody unique savoir-faire, a carefully preserved heritage and a dynamic engagement with modernity. These creations make our Houses ambassadors of a distinctively refined art de vivre.",276,40,5,1,33,13,6.9,41,95.24,88.86,3.05,99.00,13.67,34.15,70.73,31.71,9.76,4.88,0.00,2.44,0.00,0.00,2.44,4.88,9.76,7.32,0.00,2.44,2.44,0.00,7.32,2.44,2.44,0.00,0.00,4.88,9.76,9.76,0.00,0.00,0.00,0.00,12.20,0.00,0.00,0.00,0.00,14.63,0.00,9.76,0.00,0.00,4.88,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.63,7.32,4.88,0.00,0.00,2.44,0.00,4.88,0.00,7.32,2.44,2.44,2.44,2.44,2.44,4.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.20,7.32,2.44,0.00,0.00,0.00,0.00,2.44,0.00,0.00,0.00,0.00
HERIOT-WATT UNIVERSITY,"Our mission is to create and exchange knowledge for the benefit of society.
  
  We are commited to attracting the very best staff to help us deliver our ambitions",163,28,1,0,26,14,5.821428571428571,28,89.26,99.00,1.06,99.00,14.00,32.14,92.86,53.57,14.29,14.29,0.00,14.29,0.00,0.00,0.00,0.00,7.14,17.86,7.14,3.57,3.57,0.00,10.71,3.57,3.57,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00,21.43,0.00,0.00,0.00,0.00,7.14,3.57,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.71,17.86,10.71,14.29,7.14,0.00,0.00,7.14,0.00,3.57,3.57,0.00,0.00,7.14,0.00,0.00,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.57,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Hermes,"For six generations, Hermès has been an independent, family-owned French house, artisanal, creative, innovative and responsible, whose entrepreneurial spirit has become its business model. As a responsible company, Hermès demonstrates its attachment to creating social value to encourage sustainable growth both in France and abroad. This is firstly manifested collectively, by job creation.",391,53,12,0,46,18,7.377358490566038,54,83.33,82.28,4.97,99.00,18.00,35.19,74.07,35.19,7.41,0.00,0.00,0.00,0.00,0.00,0.00,7.41,3.70,11.11,9.26,0.00,5.56,0.00,11.11,3.70,1.85,1.85,3.70,1.85,9.26,9.26,0.00,0.00,0.00,0.00,9.26,1.85,0.00,0.00,0.00,9.26,1.85,7.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.11,5.56,5.56,0.00,0.00,0.00,1.85,7.41,0.00,9.26,1.85,3.70,3.70,11.11,1.85,3.70,1.85,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.22,5.56,14.81,0.00,0.00,0.00,0.00,1.85,0.00,0.00,0.00,0.00
Hewlett Packard Enterprise,"To advance the way people live and work. HPE is developing transformative solutions to reap the benefits of growing connectivity, while reducing the environmental footprint of IT infrastructure. Our sustainable products help customers transform sectors and expand access to people around the world, reflecting the technology industry’s unique potential to deliver sustainability at scale.Billions of devices are coming online, and the growth is causing enterprises to hit resource limitations as they try to scale. There’s never been a better time to remove resource inefficiencies across the entire IT product lifecycle. HPE can help you adopt sustainable IT practices and make the most of your budget. we're proud to play a key role in responding to climate change.
",768,117,11,5,108,44,6.564102564102564,118,95.88,88.22,29.66,85.20,19.67,30.51,80.51,40.68,6.78,4.24,0.00,1.69,1.69,0.00,0.85,2.54,8.47,15.25,5.08,2.54,5.08,0.85,11.02,3.39,3.39,0.00,0.85,1.69,3.39,3.39,0.00,0.00,0.00,0.00,9.32,0.00,0.00,0.00,0.00,10.17,1.69,5.08,0.00,2.54,1.69,0.00,0.00,0.00,0.00,0.00,0.85,0.00,0.85,0.00,0.00,12.71,3.39,7.63,1.69,3.39,0.00,0.85,9.32,1.69,16.10,5.93,7.63,2.54,9.32,0.85,0.00,1.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.02,5.93,2.54,0.00,0.00,0.00,0.00,0.00,0.00,2.54,0.00,0.00
HIROSHIMA UNIVERSITY,"Based on the Five Guiding Principles of Hiroshima University, our mission is to grow, through interdisciplinary research approach of environment, education and peace as focuses, global leaders who can be engaged creatively and collaboratively in various issues in the developing countries.",289,41,5,0,35,17,7.048780487804878,41,96.72,88.86,40.20,96.29,41.00,46.34,78.05,41.46,4.88,2.44,0.00,2.44,0.00,0.00,0.00,2.44,4.88,19.51,7.32,0.00,7.32,0.00,9.76,4.88,4.88,2.44,2.44,2.44,4.88,4.88,0.00,0.00,0.00,0.00,9.76,0.00,0.00,0.00,0.00,2.44,0.00,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.76,2.44,2.44,4.88,2.44,0.00,0.00,9.76,0.00,19.51,4.88,14.63,0.00,12.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.20,2.44,9.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Home Depot,"The Home Depot is in the home improvement business and our goal is to provide the highest level of service, the broadest selection of products and the most competitive prices.",175,30,2,0,27,15,5.833333333333333,30,99.00,84.14,10.08,84.54,30.00,30.00,93.33,46.67,3.33,3.33,0.00,3.33,0.00,0.00,0.00,0.00,16.67,13.33,6.67,0.00,6.67,0.00,6.67,10.00,10.00,0.00,0.00,3.33,3.33,3.33,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,6.67,0.00,3.33,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,3.33,10.00,6.67,3.33,0.00,0.00,10.00,0.00,13.33,0.00,13.33,0.00,16.67,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,3.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Honda,"Maintaining a global viewpoint, we are dedicated to supplying Products of the highest quality, yet at a reasonable price for worldwide Customers satisfaction.",158,23,3,0,20,9,6.869565217391305,23,99.00,80.77,54.89,93.61,23.00,47.83,78.26,43.48,4.35,4.35,0.00,4.35,0.00,0.00,0.00,0.00,13.04,17.39,4.35,4.35,0.00,0.00,4.35,8.70,4.35,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,8.70,4.35,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,4.35,0.00,4.35,0.00,0.00,0.00,4.35,0.00,17.39,0.00,13.04,4.35,8.70,0.00,0.00,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.04,4.35,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HONG KONG BAPTIST UNIVERSITY (HKBU),"HKBU is committed to academic excellence in teaching, research and service, and to the development of the whole person in all these endeavours built upon the heritage of Christian higher education.",197,31,3,1,29,14,6.354838709677419,31,99.00,62.65,8.87,83.22,31.00,35.48,90.32,45.16,3.23,0.00,0.00,0.00,0.00,0.00,0.00,3.23,9.68,22.58,3.23,0.00,6.45,0.00,3.23,6.45,3.23,0.00,0.00,6.45,3.23,3.23,0.00,0.00,0.00,0.00,3.23,0.00,0.00,0.00,0.00,6.45,0.00,0.00,0.00,0.00,6.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.90,0.00,3.23,9.68,0.00,0.00,0.00,3.23,0.00,12.90,0.00,12.90,0.00,22.58,0.00,0.00,0.00,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.68,3.23,6.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Honor home care,"About Honor
 San Francisco-based Honor, launched in spring 2015, is the home-care solution that helps older adults continue to live and age in their own homes with greater joy, comfort, and grace. Funded by Silicon Valley trailblazer Marc Andreessen, Honor combines the best care professionals in the industry with proprietary app technology that modernizes the entire home-care experience, making it more flexible and accessible for family caregivers and their aging loved ones. For more information, please visit www.JoinHonor.com.",533,78,15,0,64,27,6.833333333333333,83,96.03,80.04,13.77,99.00,27.67,25.30,78.31,28.92,6.02,2.41,0.00,0.00,0.00,0.00,2.41,3.61,4.82,12.05,1.20,1.20,4.82,0.00,10.84,6.02,6.02,0.00,1.20,3.61,18.07,18.07,0.00,0.00,0.00,0.00,8.43,1.20,0.00,0.00,0.00,7.23,2.41,4.82,0.00,0.00,1.20,0.00,2.41,0.00,0.00,1.20,2.41,0.00,1.20,0.00,0.00,12.05,3.61,6.02,6.02,2.41,0.00,1.20,8.43,0.00,12.05,2.41,3.61,6.02,2.41,1.20,4.82,1.20,0.00,0.00,1.20,0.00,1.20,0.00,0.00,0.00,18.07,6.02,8.43,0.00,0.00,0.00,0.00,3.61,0.00,0.00,0.00,0.00
